iter	Passed	Remaining
0	63	31485
1	138	34533
2	231	38368
3	311	38575
4	382	37848
5	424	34983
6	566	39874
7	677	41673
8	790	43101
9	914	44825
10	955	42464
11	1021	41546
12	1109	41565
13	1169	40612
14	1292	41787
15	1382	41822
16	1481	42101
17	1521	40740
18	1701	43068
19	1813	43519
20	1868	42618
21	1980	43033
22	2173	45086
23	2292	45459
24	2396	45542
25	2505	45671
26	2606	45664
27	2649	44667
28	2722	44220
29	2914	45657
30	3100	46913
31	3177	46476
32	3370	47691
33	3541	48536
34	3646	48449
35	3739	48200
36	3923	49102
37	4108	49954
38	4290	50711
39	4467	51374
40	4640	51950
41	4825	52625
42	4993	53071
43	5049	52327
44	5221	52792
45	5409	53391
46	5601	53986
47	5664	53342
48	5850	53846
49	6037	54340
50	6223	54792
51	6286	54163
52	6488	54724
53	6679	55169
54	6754	54646
55	6941	55035
56	7137	55471
57	7268	55388
58	7479	55906
59	7677	56300
60	7936	57114
61	8044	56831
62	8320	57717
63	8585	58485
64	8707	58273
65	8974	59014
66	9281	59984
67	9593	60948
68	9867	61639
69	10105	62074
70	10359	62593
71	10570	62838
72	10789	63113
73	11024	63466
74	11295	64006
75	11599	64713
76	11833	65005
77	11892	64343
78	12005	63978
79	12239	64258
80	12510	64716
81	12767	65085
82	13039	65511
83	13292	65830
84	13493	65881
85	13687	65890
86	13894	65961
87	14106	66044
88	14302	66048
89	14368	65457
90	14550	65396
91	14598	64742
92	14781	64688
93	14952	64580
94	15131	64506
95	15208	64003
96	15396	63965
97	15576	63894
98	15746	63780
99	15931	63725
100	16112	63651
101	16314	63657
102	16516	63661
103	16609	63243
104	16807	63227
105	16900	62819
106	16995	62422
107	17198	62422
108	17376	62332
109	17413	61738
110	17585	61629
111	17773	61572
112	17939	61439
113	18057	61141
114	18236	61052
115	18398	60906
116	18462	60437
117	18633	60320
118	18820	60255
119	18995	60151
120	19165	60031
121	19345	59940
122	19534	59875
123	19708	59762
124	19891	59673
125	20059	59541
126	20223	59395
127	20391	59263
128	20562	59137
129	20733	59010
130	20895	58858
131	21060	58713
132	21212	58534
133	21356	58332
134	21522	58189
135	21672	58005
136	21861	57924
137	22030	57789
138	22095	57383
139	22268	57262
140	22438	57131
141	22616	57017
142	22702	56677
143	22884	56574
144	23078	56502
145	23251	56375
146	23405	56206
147	23584	56092
148	23749	55945
149	23920	55814
150	24079	55654
151	24268	55561
152	24434	55417
153	24604	55280
154	24770	55134
155	24934	54983
156	25120	54880
157	25312	54791
158	25497	54683
159	25546	54286
160	25736	54189
161	25911	54062
162	26091	53944
163	26264	53810
164	26440	53682
165	26496	53311
166	26677	53195
167	26839	53039
168	26999	52881
169	27169	52740
170	27364	52648
171	27585	52604
172	27669	52299
173	27867	52210
174	28044	52081
175	28124	51774
176	28300	51644
177	28468	51499
178	28638	51356
179	28804	51208
180	28978	51071
181	29149	50931
182	29342	50828
183	29401	50494
184	29579	50365
185	29636	50031
186	29812	49899
187	29873	49578
188	30042	49434
189	30215	49298
190	30382	49152
191	30579	49054
192	30761	48931
193	30958	48831
194	31168	48750
195	31369	48654
196	31579	48570
197	31793	48492
198	31982	48375
199	32028	48042
200	32222	47932
201	32426	47836
202	32621	47726
203	32800	47592
204	32981	47460
205	33166	47335
206	33353	47210
207	33530	47072
208	33729	46963
209	33939	46868
210	34120	46733
211	34314	46616
212	34513	46504
213	34717	46397
214	34898	46260
215	35068	46108
216	35260	45984
217	35448	45855
218	35634	45722
219	35842	45617
220	36029	45485
221	36210	45344
222	36385	45195
223	36557	45044
224	36733	44895
225	36902	44740
226	37069	44581
227	37248	44436
228	37438	44304
229	37659	44209
230	37860	44088
231	38046	43950
232	38211	43787
233	38398	43649
234	38576	43500
235	38749	43347
236	38925	43196
237	39085	43027
238	39277	42892
239	39449	42737
240	39623	42582
241	39802	42433
242	39977	42280
243	40153	42128
244	40317	41963
245	40495	41811
246	40675	41664
247	40861	41521
248	41053	41382
249	41251	41251
250	41409	41079
251	41582	40922
252	41769	40778
253	41949	40628
254	42129	40477
255	42304	40321
256	42471	40157
257	42669	40023
258	42834	39857
259	43005	39697
260	43188	39548
261	43358	39386
262	43535	39231
263	43702	39067
264	43874	38907
265	44045	38746
266	44208	38578
267	44373	38412
268	44541	38249
269	44706	38083
270	44875	37920
271	45048	37761
272	45231	37610
273	45400	37447
274	45572	37286
275	45733	37116
276	45912	36961
277	46077	36795
278	46256	36640
279	46409	36464
280	46567	36292
281	46738	36130
282	46888	35953
283	47058	35791
284	47213	35616
285	47372	35446
286	47527	35272
287	47693	35107
288	47840	34928
289	48009	34765
290	48172	34598
291	48348	34439
292	48502	34266
293	48672	34104
294	48825	33929
295	49002	33771
296	49151	33594
297	49305	33422
298	49461	33250
299	49621	33080
300	49784	32914
301	49941	32743
302	50112	32581
303	50294	32426
304	50461	32262
305	50630	32099
306	50800	31936
307	50961	31768
308	51138	31609
309	51319	31453
310	51496	31295
311	51668	31133
312	51819	30959
313	51984	30793
314	52147	30626
315	52318	30463
316	52484	30298
317	52660	30139
318	52823	29971
319	53012	29819
320	53174	29651
321	53327	29479
322	53491	29312
323	53645	29140
324	53823	28982
325	53994	28818
326	54139	28642
327	54317	28483
328	54488	28320
329	54660	28158
330	54825	27992
331	54978	27820
332	55131	27648
333	55292	27480
334	55461	27316
335	55646	27160
336	55819	26998
337	55981	26831
338	56200	26690
339	56435	26557
340	56689	26433
341	56990	26329
342	57451	26297
343	57830	26225
344	58144	26122
345	58481	26029
346	58780	25917
347	59035	25785
348	59280	25648
349	59509	25503
350	59713	25348
351	59905	25187
352	60097	25026
353	60313	24874
354	60564	24737
355	60769	24580
356	60952	24415
357	61135	24249
358	61330	24088
359	61522	23925
360	61714	23762
361	61896	23595
362	62064	23423
363	62249	23257
364	62432	23091
365	62611	22923
366	62801	22758
367	62980	22590
368	63143	22416
369	63332	22251
370	63505	22081
371	63690	21915
372	63863	21744
373	64079	21588
374	64271	21423
375	64461	21258
376	64654	21094
377	64847	20929
378	65067	20773
379	65240	20602
380	65418	20432
381	65597	20262
382	65779	20094
383	65949	19922
384	66125	19751
385	66292	19578
386	66442	19400
387	66593	19222
388	66748	19046
389	66920	18874
390	67066	18696
391	67223	18520
392	67393	18348
393	67564	18177
394	67726	18003
395	67890	17829
396	68051	17655
397	68220	17483
398	68389	17311
399	68553	17138
400	68731	16968
401	68910	16799
402	69092	16630
403	69271	16460
404	69459	16293
405	69618	16118
406	69777	15944
407	69926	15767
408	70079	15592
409	70247	15420
410	70406	15246
411	70567	15072
412	70728	14899
413	70893	14726
414	71047	14551
415	71215	14380
416	71376	14206
417	71547	14035
418	71704	13861
419	71859	13687
420	72025	13515
421	72193	13343
422	72351	13170
423	72516	12998
424	72691	12827
425	72853	12655
426	73030	12485
427	73203	12314
428	73376	12143
429	73548	11973
430	73733	11804
431	73925	11636
432	74103	11466
433	74255	11292
434	74413	11119
435	74596	10949
436	74781	10780
437	74964	10611
438	75126	10439
439	75299	10268
440	75467	10096
441	75644	9926
442	75806	9753
443	75983	9583
444	76152	9412
445	76312	9239
446	76479	9068
447	76646	8896
448	76816	8725
449	76984	8553
450	77153	8382
451	77331	8212
452	77495	8040
453	77672	7869
454	77824	7696
455	77982	7524
456	78156	7353
457	78329	7183
458	78487	7010
459	78655	6839
460	78828	6668
461	78992	6497
462	79183	6327
463	79371	6158
464	79552	5987
465	79716	5816
466	79903	5646
467	80088	5476
468	80277	5306
